healthfacility,healthfacilitytype,governorate,Latitude,Longitude
AL-Baqea Comprehensive Center,Comprehensive Center,Balqa,32.04121313,35.71074843
AL-Mafraq Hospital,Hospital,Mafraq,32.34492,36.20438
AL-Nadeem Hospital,Hospital,Madaba,31.71618472,35.7775367
AL-Ramtha Hospital,Hospital,Irbid,32.5667,36.01693
AL-Shuneh Hospital,Hospital,Balqa,31.8915,35.6178
AL-Zarqa Hospital,Hospital,Zarqa,32.07275,36.08796
Abu Alanda CC,Comprehensive Center,Amman,31.90052,35.9686
Ader Primary Center,Primary Center,Karak,31.20217,35.76155
Adnaniyyeh Primary Center,Primary Center,Karak,31.12159121,35.69436754
Ain Al-Basha Comprehensive Center,Comprehensive Center,Balqa,32.05726,35.83109
Ajloun Comprehensive Center,Comprehensive Center,Ajloun,32.33326,35.75279
Al Hussain New Salt Hospital,Hospital,Balqa,32.03917,35.72722
Al Saro Primary Center,Primary Center,Balqa,32.05479834,35.79157216
Al-Aal Primary Center,Primary Center,Amman,31.93,35.95
Al-Awdeh Primary Center,Primary Center,Amman,31.8615,36.0054
Al-Azaideh Primary Center,Primary Center,Madaba,32.05992254,35.77838141
Al-Basheer Hospital,Hospital,Amman,31.95886,35.94549
Al-Farooq Comprehensive Center,Comprehensive Center,Irbid,32.56329752,35.85031545
Al-Hamaydeh Primary Center,Primary Center,Madaba,31.62228554,35.7962169
Al-Iman Hospital,Hospital,Ajloun,32.32166794,35.75444508
Al-Karak Hospital,Hospital,Karak,31.14635,35.72683
Al-Mafraq Gynecology and Pediatrics Hospital,Specialized Medical Center,Mafraq,32.3177834,36.229011
Al-Manarah Primary Center,Primary Center,Amman,31.68157,35.89686
Al-Mansoura Comprehensive Center,Comprehensive Center,Mafraq,32.41635,36.16958
Al-Razi Comprehensive Center,Comprehensive Center,Jarash,32.27864842,35.83291038
Al-Razy Primary Center,Primary Center,Irbid,32.56142068,35.87287453
Al-Salaihy Primary Center,Primary Center,Balqa,32.12280721,35.82644224
Al-Taj Primary Center,Primary Center,Amman,31.9475,35.9338
Al-Theraa Primary Center,Primary Center,Amman,31.9572,35.9681
Al-Yarmouk Hospital,Hospital,Irbid,32.70715,35.87147
Al-Yazidieh Primary Center,Primary Center,Balqa,32.07519581,35.7752398
Al-Zubaydiah Primary Center,Primary Center,Mafraq,32.37836844,36.28525988
Amiryye Comprehensive Center,Comprehensive Center,Zarqa,32.0632,36.0661
Amman Comprehensive Center,Comprehensive Center,Amman,31.9567,35.9493
Amman Field Hospital,Field Hospital,Amman,31.9751,35.8819
Amman Taibeh Primary Center,Primary Center,Amman,31.8585,35.8466
Aqaba Comprehensive Center,Comprehensive Center,Aqaba,29.5167,35.0
Aqaba Field Hospital,Field Hospital,Aqaba,29.56976458,35.02067947
Arish Primary Center,Primary Center,Madaba,31.78072,35.78428
Ayy Comprehensive Center,Comprehensive Center,Karak,31.162,35.704
Badiyah Al-Shamali  Comprehensive Center,Comprehensive Center,Mafraq,32.28182238,36.46203081
Badr Comprehensive Center,Comprehensive Center,Amman,31.88,35.818
Balaama Comprehensive Center,Comprehensive Center,Mafraq,32.23649,36.08811
Balileh Primary Center,Primary Center,Jarash,32.38884529,35.94031698
Batteer  Primary Center,Primary Center,Karak,31.26619288,35.69971017
Beit Ras Primary Center,Primary Center,Irbid,32.59329,35.85675
Bierain Comprehensive Center,Comprehensive Center,Zarqa,32.1134,36.149
Bsaira Comprehensive Center,Comprehensive Center,Tafila,30.73219263,35.61186405
Bushra Primary Center,Primary Center,Irbid,32.55987,35.8952
Damneh Primary Center,Primary Center,Karak,31.36204566,35.68769939
Dhaheyat Al-Hussein Primary Center,Primary Center,Amman,31.96979281,35.88242594
Dr. Jamel Al-Totanji Hospital,Hospital,Amman,31.854,35.99683134
East Madaba Comprehensive Center,Comprehensive Center,Madaba,31.7237,35.809
East Thhaibeh Primary Center  ,Primary Center,Amman,31.80645531,36.05325934
Ein Jana Primary Center,Primary Center,Ajloun,32.33446531,35.76699014
Eskan Abu-Nsseir Al-Shamel Al-Tadribi,Comprehensive Center,Amman,32.05301352,35.88197637
Eydoun Bani Hassan Primary Center,Primary Center,Mafraq,32.31117796,36.17917725
Faqqou Comprehensive Center,Comprehensive Center,Karak,31.3686,35.7006
Fuhais  Comprehensive Center,Comprehensive Center,Ajloun,32.01065083,35.78513915
Ghwayyer Primary Center,Primary Center,Karak,31.14638943,35.75122633
Haninah Primary Center,Primary Center,Madaba,31.72874,35.80744
Hashemieh Housing Comprehensive Center,Comprehensive Center,Zarqa,32.112,36.0465
Hashemiyyah Primary Center,Primary Center,Amman,32.13876676,36.11486825
Hawiyyeh Primary Center,Primary Center,Karak,31.141666,35.705555
Hay Al-Hussein Primary Center,Primary Center,Mafraq,32.34971513,36.2062756
Hay Al-Rsheed Comprehensive Center,Comprehensive Center,Zarqa,32.0721,36.0899
Hay Etwal Primary Center,Primary Center,Irbid,32.56575878,35.8231893
Howara Primary Center,Primary Center,Irbid,32.5348091,35.90743354
Husban Primary Center,Primary Center,Amman,31.79819,35.80986
Husseinieh Primary Center,Primary Center,Karak,31.02652802,35.72140793
Ibn Sina Primary Center,Primary Center,Irbid,32.55500571,35.84911155
Iraq Primary Center,Primary Center,Karak,31.09028,35.64194
Irbid Field Hospital,Field Hospital,Irbid,32.55556,35.85
Irbid Urban Development Primary Center,Primary Center,Irbid,32.58948367,35.85299605
Istiqlal Primary Center,Primary Center,Amman,31.96923689,35.92706971
Jabal Amman Primary Center,Primary Center,Amman,31.95003397,35.9299315
Jadaa Primary Center,Primary Center,Karak,31.39615668,35.75188722
Jarash Comprehensive Center,Comprehensive Center,Jarash,32.28082,35.89929
Jarash Hospital,Hospital,Jarash,32.28345,35.89773
Jdaideh Primary Center,Primary Center,Karak,31.26269366,35.80832504
Jizeh Compreahnsive Center,Comprehensive Center,Amman,31.70305532,35.95661882
Jouza Primary Center,Primary Center,Karak,31.1553,35.6439
Jowaideh Primary Center,Primary Center,Amman,31.89202766,35.92364877
Jubaiha Comprehensive Center,Comprehensive Center,Amman,32.01071,35.89802
Jufeh Comprehensive Center,Comprehensive Center,Amman,31.9517,35.9393
Karak Comprehensive Center,Comprehensive Center,Karak,31.18225,35.70486
Karak Taibeh Primary Center ,Primary Center,Karak,31.1098,35.7045
Kfair Primary Center,Primary Center,Jarash,32.21658115,35.93070632
Khaldieh Comprehensive Center,Comprehensive Center,Mafraq,32.18481729,36.30729722
Khazzan Primary Center,Primary Center,Aqaba,29.56239058,35.02704064
Khraibet Al Souq  Comprehensive Center,Comprehensive Center,Amman,31.867203,35.93484937
Kufur Khal Primary Center,Primary Center,Jarash,32.3576,35.88312
Kufur Yuba Comprehensive Center,Comprehensive Center,Irbid,32.5447,35.80446
Kuthraba Primary Center,Primary Center,Karak,31.13372069,35.63093693
Leb Comprehensive Center,Comprehensive Center,Madaba,31.60552834,35.76378881
Luaibdeh Comprehensive Center,Comprehensive Center,Amman,31.95557703,35.92648925
Maan Comprehansive Center,Comprehensive Center,Ma'an,30.19624,35.73405
Maan Hospital,Hospital,Ma'an,30.19167,35.72904
Mabroukeh Primary Center ,Primary Center,Mafraq,32.16310327,36.2854687
Mafraq Comprehensive Center,Comprehensive Center,Mafraq,32.3457,36.2108
Mahes Primary Center,Primary Center,Balqa,31.98333,35.76666
Majra Primary Center,Primary Center,Karak,31.025,35.6825
Manshiyeh Abu Hamour Primary Center,Primary Center,Karak,31.18194,35.73639
Manshiyet Bni Hasan Comprehensive Center,Comprehensive Center,Mafraq,32.37411139,36.08191448
Marikh  Primary Center,Primary Center,Amman,31.93384738,35.93041853
Marj AL Hamam CC,Comprehensive Center,Amman,31.9157,35.8388
Marj Primary Center,Primary Center,Karak,31.17670559,35.71185225
Marka Comprehensive Center,Comprehensive Center,Amman,31.9778,35.9802
Marka Correctional Primary,Comprehensive Center,Amman,31.978,36.0188
Marqab Primary Center,Primary Center,Amman,31.94414454,35.9991302
Marsa Primary Center,Primary Center,Jarash,32.14422275,35.8696747
Merwd Primary Center,Primary Center,Karak,31.10274055,35.72196705
Mghayyer Comprehensive Center,Comprehensive Center,Karak,31.279,35.747
Mhyy Primary Center,Primary Center,Karak,30.98519243,35.85953564
Mlaih Comprehensive Center,Comprehensive Center,Madaba,31.58487208,35.80631994
Moaab Primary Center,Primary Center,Karak,31.03775451,35.72846029
Mobes Primary Center,Primary Center,Balqa,32.099059,35.88612257
Mshairfeh Comprehensive Center,Comprehensive Center,Zarqa,32.0795,36.1049
Muta Primary Center,Primary Center,Karak,31.08914824,35.6939149
Muwaqqar Comprehensive Center,Comprehensive Center,Amman,31.81473,36.10879
Naour Comprehensive Center,Comprehensive Center,Amman,31.8744,35.8247
Naser Comprehensive Center,Comprehensive Center,Amman,31.9529,35.9685
Natheef  Primary Center,Primary Center,Amman,31.93694138,35.92594439
Natl Comprehensive Center,Comprehensive Center,Amman,31.65095,35.86214
North Badiyah Hospital,Hospital,Mafraq,32.51648304,36.04936547
North Hashmi Comprehensive Center,Comprehensive Center,Amman,31.96934274,35.95491725
North Madaba Comprehensive Center,Comprehensive Center,Madaba,31.7452,35.8003
North Ramtha Primary Center,Primary Center,Irbid,32.5694,36.0107
North Rusaifa Primary Center,Primary Center,Zarqa,32.01778,36.04639
Nuzha Primary Center,Primary Center,Amman,31.9747744,35.9268997
Ohud Comprehensive Center,Comprehensive Center,Amman,31.963,35.966
Old Town Primary Center,Primary Center,Aqaba,29.52262916,35.00626055
Petra Comprehensive Center,Comprehensive Center,Ma'an,30.32096,35.47895
