hsa_id,fac_type,governorate,fac_type_score,urban_bonus,infra_quality,note_infra,jmp_san_pct,jmp_wat_pct,infra_quality_label
Abu_Alanda_CC,Comprehensive Center,Amman,2,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Ader_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Adnaniyyeh_Primary_Center,Primary Center,Karak,1,0.0,0.65306,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),65.306,82.326,65.3% safely managed sanitation
Ain_Al-Basha_Comprehensive_Center,Comprehensive Center,Balqa,2,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Ajloun_Comprehensive_Center,Comprehensive Center,Ajloun,2,0.0,0.60983,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),60.983,81.422,61.0% safely managed sanitation
Al_Hussain_New_Salt_Hospital,Hospital,Balqa,3,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Al_Saro_Primary_Center,Primary Center,Balqa,1,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Al-Aal_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Al-Awdeh_Primary_Center,Primary Center,Amman,1,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
Al-Azaideh_Primary_Center,Primary Center,Madaba,1,0.0,0.68606,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),68.606,83.016,68.6% safely managed sanitation
AL-Baqea_Comprehensive_Center,Comprehensive Center,Balqa,2,0.5,0.69662,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),69.662,83.237,69.7% safely managed sanitation
Al-Basheer_Hospital,Hospital,Amman,3,1.0,0.81905,JMP 2025 Jordan; 2022 urban/rural safely managed sanitation weighted by governorate urbanization rate (Jordan DoS Census 2015),81.905,85.797,81.9% safely managed sanitation
