date,note
2022-06-02,System-wide data gap at start of collection period
2022-06-03,System-wide data gap at start of collection period
2022-06-04,System-wide data gap at start of collection period
2022-06-05,System-wide data gap at start of collection period
2022-06-06,System-wide data gap at start of collection period
2022-06-07,System-wide data gap at start of collection period
2022-06-08,System-wide data gap at start of collection period
2022-06-09,System-wide data gap at start of collection period
2022-06-10,System-wide data gap at start of collection period
2022-06-11,System-wide data gap at start of collection period
2022-06-12,System-wide data gap at start of collection period
2022-06-13,System-wide data gap at start of collection period
2022-06-14,System-wide data gap at start of collection period
2022-06-15,System-wide data gap at start of collection period
2022-06-16,System-wide data gap at start of collection period
2022-06-17,System-wide data gap at start of collection period
2022-06-18,System-wide data gap at start of collection period
2022-06-19,System-wide data gap at start of collection period
2022-06-20,System-wide data gap at start of collection period
2022-06-21,System-wide data gap at start of collection period
2022-06-22,System-wide data gap at start of collection period
2022-06-23,System-wide data gap at start of collection period
2022-06-24,System-wide data gap at start of collection period
2022-06-25,System-wide data gap at start of collection period
2022-06-26,System-wide data gap at start of collection period
2022-06-27,System-wide data gap at start of collection period
2022-06-28,System-wide data gap at start of collection period
2022-06-29,System-wide data gap at start of collection period
2022-06-30,System-wide data gap at start of collection period
2023-05-30,Two-day reporting gap
2023-05-31,Two-day reporting gap
